id;target_no;cond_c;cond_q;expec;list
s6l6qfidgnfjha62eje409pj75;t4;c1;irr;4;2
s6l6qfidgnfjha62eje409pj75;t2;c1;irr;6;2
s6l6qfidgnfjha62eje409pj75;t1;c1;irr;7;2
s6l6qfidgnfjha62eje409pj75;t3;c1;irr;0;2
s6l6qfidgnfjha62eje409pj75;t8;c1;irr;17;2
s6l6qfidgnfjha62eje409pj75;t6;c1;irr;3;2
s6l6qfidgnfjha62eje409pj75;t5;c1;irr;8;2
s6l6qfidgnfjha62eje409pj75;t7;c1;irr;7;2
s6l6qfidgnfjha62eje409pj75;t10;c3;irr;13;2
s6l6qfidgnfjha62eje409pj75;t13;c3;irr;10;2
s6l6qfidgnfjha62eje409pj75;t15;c3;irr;10;2
s6l6qfidgnfjha62eje409pj75;t14;c3;irr;17;2
s6l6qfidgnfjha62eje409pj75;t11;c3;irr;20;2
s6l6qfidgnfjha62eje409pj75;t16;c3;irr;12;2
s6l6qfidgnfjha62eje409pj75;t9;c3;irr;9;2
s6l6qfidgnfjha62eje409pj75;t12;c3;irr;12;2
s6l6qfidgnfjha62eje409pj75;t4;c1;pq1;75;2
s6l6qfidgnfjha62eje409pj75;t7;c1;pq1;57;2
s6l6qfidgnfjha62eje409pj75;t5;c1;pq1;58;2
s6l6qfidgnfjha62eje409pj75;t2;c1;pq1;75;2
s6l6qfidgnfjha62eje409pj75;t1;c1;pq1;69;2
s6l6qfidgnfjha62eje409pj75;t6;c1;pq1;72;2
s6l6qfidgnfjha62eje409pj75;t8;c1;pq1;76;2
s6l6qfidgnfjha62eje409pj75;t3;c1;pq1;81;2
s6l6qfidgnfjha62eje409pj75;t12;c3;pq1;70;2
s6l6qfidgnfjha62eje409pj75;t15;c3;pq1;60;2
s6l6qfidgnfjha62eje409pj75;t10;c3;pq1;58;2
s6l6qfidgnfjha62eje409pj75;t9;c3;pq1;61;2
s6l6qfidgnfjha62eje409pj75;t14;c3;pq1;60;2
s6l6qfidgnfjha62eje409pj75;t11;c3;pq1;72;2
s6l6qfidgnfjha62eje409pj75;t16;c3;pq1;72;2
s6l6qfidgnfjha62eje409pj75;t13;c3;pq1;60;2
s6l6qfidgnfjha62eje409pj75;t7;c1;pq2;70;2
s6l6qfidgnfjha62eje409pj75;t5;c1;pq2;75;2
s6l6qfidgnfjha62eje409pj75;t2;c1;pq2;77;2
s6l6qfidgnfjha62eje409pj75;t1;c1;pq2;70;2
s6l6qfidgnfjha62eje409pj75;t8;c1;pq2;65;2
s6l6qfidgnfjha62eje409pj75;t3;c1;pq2;67;2
s6l6qfidgnfjha62eje409pj75;t4;c1;pq2;73;2
s6l6qfidgnfjha62eje409pj75;t6;c1;pq2;64;2
s6l6qfidgnfjha62eje409pj75;t14;c3;pq2;64;2
s6l6qfidgnfjha62eje409pj75;t10;c3;pq2;57;2
s6l6qfidgnfjha62eje409pj75;t13;c3;pq2;28;2
s6l6qfidgnfjha62eje409pj75;t11;c3;pq2;69;2
s6l6qfidgnfjha62eje409pj75;t16;c3;pq2;59;2
s6l6qfidgnfjha62eje409pj75;t12;c3;pq2;51;2
s6l6qfidgnfjha62eje409pj75;t9;c3;pq2;66;2
s6l6qfidgnfjha62eje409pj75;t15;c3;pq2;75;2
s6l6qfidgnfjha62eje409pj75;t5;c1;pq3;36;2
s6l6qfidgnfjha62eje409pj75;t8;c1;pq3;52;2
s6l6qfidgnfjha62eje409pj75;t3;c1;pq3;20;2
s6l6qfidgnfjha62eje409pj75;t6;c1;pq3;68;2
s6l6qfidgnfjha62eje409pj75;t4;c1;pq3;81;2
s6l6qfidgnfjha62eje409pj75;t7;c1;pq3;10;2
s6l6qfidgnfjha62eje409pj75;t2;c1;pq3;52;2
s6l6qfidgnfjha62eje409pj75;t1;c1;pq3;74;2
s6l6qfidgnfjha62eje409pj75;t11;c3;pq3;60;2
s6l6qfidgnfjha62eje409pj75;t16;c3;pq3;80;2
s6l6qfidgnfjha62eje409pj75;t9;c3;pq3;76;2
s6l6qfidgnfjha62eje409pj75;t13;c3;pq3;76;2
s6l6qfidgnfjha62eje409pj75;t14;c3;pq3;17;2
s6l6qfidgnfjha62eje409pj75;t15;c3;pq3;53;2
s6l6qfidgnfjha62eje409pj75;t10;c3;pq3;76;2
s6l6qfidgnfjha62eje409pj75;t12;c3;pq3;82;2
s6l6qfidgnfjha62eje409pj75;t6;c1;then;73;2
s6l6qfidgnfjha62eje409pj75;t8;c1;then;64;2
s6l6qfidgnfjha62eje409pj75;t3;c1;then;74;2
s6l6qfidgnfjha62eje409pj75;t4;c1;then;67;2
s6l6qfidgnfjha62eje409pj75;t7;c1;then;67;2
s6l6qfidgnfjha62eje409pj75;t2;c1;then;79;2
s6l6qfidgnfjha62eje409pj75;t1;c1;then;63;2
s6l6qfidgnfjha62eje409pj75;t5;c1;then;68;2
s6l6qfidgnfjha62eje409pj75;t12;c3;then;17;2
s6l6qfidgnfjha62eje409pj75;t9;c3;then;66;2
s6l6qfidgnfjha62eje409pj75;t14;c3;then;85;2
s6l6qfidgnfjha62eje409pj75;t16;c3;then;17;2
s6l6qfidgnfjha62eje409pj75;t15;c3;then;33;2
s6l6qfidgnfjha62eje409pj75;t10;c3;then;61;2
s6l6qfidgnfjha62eje409pj75;t11;c3;then;63;2
s6l6qfidgnfjha62eje409pj75;t13;c3;then;39;2
